*People;;*Mensen;;
**Personal documents;;**Persoonlijke documenten;;
driver's license;’draɪvərs ’laɪsəns;het rijbewijs;n;
passport;’pæspɔ:rt;het paspoort;n;
name;neɪm;de naam;m;
last name;læst neɪm;de achternaam;m;
signature;’sɪgnətʃər;de handtekening;f;
age;eɪdʒ;de leeftijd;m;
birthday;’bɜ:rƟ‚deɪ;de verjaardag;m;
adult;ə’dʌlt, ’ædʌlt;de volwassene;f,m;
man;mæn;de man;m;
woman;’wʋmən;de vrouw;f;
address;ə’dres, ’ædres;het adres;n;
**Family;;**Gezin;;
family;’fæməlɪ;het gezin;n;
parents;’pærənts;de ouders;mpl;
father;’fɑ:ðər;de vader;m;
mother;’mʌðər;de moeder;f;
sister;’sɪstər;de zus;f;
brother;’brʌðər;de broer;m;
husband;’hʌzbənd;de echtgenoot;m;
wife;waɪf;de echtgenote;f;
baby;’beɪbɪ;de baby;m;
child;tʃaɪld;het kind;n;
son;sʌn;de zoon;m;
daughter;’dɔ:tər;de dochter;f;
**Senses;;**Zintuigen;;
sight;saɪt;het zicht;n;
hearing;’hɪrɪŋ;het gehoor;n;
smell;smel;de reukzin;m;
taste;teɪst;de smaak;m;
**Feelings;;**Gevoelens;;
love;lʌv;de liefde;f;
faith;feɪƟ;het geloof;n;
joy;dʒɔɪ;het geluk;n;
fear;fɪər;de angst;m;
happy;’hæpɪ;gelukkig;;
scared;skeərd;bang;;
sad;sæd;verdrietig;;
surprised;sər’praɪzd;verrast;;
upset;ʌp’set;ontstemd;;
**Body;;**Lichaam;;
shoulder;’ʃəʋldər;de schouder;m;
neck;nek;de nek;m;
back;bæk;de rug;m;
abdomen;’æbdəmən;de buik;m;
chest;tʃest;de borst;m;
head;hed;het hoofd;n;
hip;hɪp;de heup;m;
leg;leg;het been;n;
knee;ni:;de knie;m;
foot;fʋt;de voet;m;
heel;hi:l;de hiel;m;
ankle;’æŋkəl;de enkel;m;
arm;ɑ:rm;de arm;m;
hand;hænd;de hand;m;
elbow;’elbəʋ;de elleboog;m;
wrist;rɪst;de pols;m;
finger;’fɪŋgər;de vinger;m;
toe;təʋ;de teen;m;
little finger;’lɪtəl ’fɪŋgər;de pink;m;
middle finger;’mɪdəl ’fɪŋgər;de middelvinger;m;
thumb;Ɵʌm;de duim;m;
ring finger;rɪŋ ’fɪŋgər;de ringvinger;m;
index finger;’ɪndeks ’fɪŋgər;de wijsvinger;m;
**Head;;**Hoofd;;
face;feɪs;het gezicht;n;
eye;aɪ;het oog;n;
eyelashes;’aɪ‚læʃɪz;de wimpers;mpl;
